name 	date	sample	z_qso	lambda_min	lambda_max 	z_min 	z_max 	SNR	resolution	DLA	comment
J042840-375619      	 -.-.-     	 UVES      	   1.110	    2179	    2531	   0.792	   1.082	     2	 49800	     0	 -                                                                                                   
J043037-485523      	 -.-.-     	 UVES      	   1.940	    3036	    3526	   1.497	   1.901	    24	 55800	     0	 -                                                                                                   
J043255-355030      	 -.-.-     	 UVES      	   2.280	    3387	    3934	   1.786	   2.236	     8	 59800	     0	 -                                                                                                   
J043403-435547      	 -.-.-     	 UVES      	   2.649	    3768	    4377	   2.099	   2.600	    11	 49800	     0	 -                                                                                                   
J044017-433308      	 -.-.-     	 UVES      	   2.863	    3989	    4634	   2.281	   2.811	    10	 49800	     0	 -                                                                                                   
J044026-163234      	 -.-.-     	 UVES      	   1.965	    3062	    3556	   1.518	   1.925	     7	 59800	     0	 -                                                                                                   
J044117-431343      	 -.-.-     	 UVES      	   0.593	    1645	    1911	   0.353	   0.572	     0	     0	     0	 -                                                                                                   
J044534-354704      	 -.-.-     	 UVES      	   2.610	    3728	    4330	   2.066	   2.562	    33	 49800	     0	 -                                                                                                   
J044821+095051      	 -.-.-     	 UVES      	   2.108	    3209	    3728	   1.640	   2.067	     4	 41500	     0	 -                                                                                                   
J045214-164016      	 -.-.-     	 UVES      	   2.600	    3717	    4318	   2.058	   2.552	    40	 49800	     0	 -                                                                                                   
J045313-130555      	 -.-.-     	 UVES      	   2.300	    3407	    3958	   1.803	   2.256	    31	 49800	     0	 -                                                                                                   
J045523-421617      	 -.-.-     	 UVES      	   2.660	    3779	    4390	   2.109	   2.611	    122	 55800	     1	 +                                                                                                   
J045608-215909      	 -.-.-     	 UVES      	   0.533	    1583	    1839	   0.302	   0.513	    47	 49800	     0	 -                                                                                                   
J050112-015914      	 -.-.-     	 UVES      	   2.286	    3393	    3941	   1.791	   2.242	     7	 49800	     0	 -                                                                                                   
J050644-610941      	 -.-.-     	 UVES      	   1.093	    2161	    2510	   0.778	   1.065	     3	 49800	     0	 -                                                                                                   
J051410-332622      	 -.-.-     	 UVES      	   1.587	    2671	    3103	   1.197	   1.553	    11	 48300	     0	 -                                                                                                   
J051707-441055      	 -.-.-     	 UVES      	   1.710	    2798	    3251	   1.302	   1.674	   109	 62500	     0	 do not cover full wavelength range                                                                                                   
J051939-364611      	 -.-.-     	 UVES      	   1.394	    2472	    2872	   1.033	   1.362	     4	 49800	     0	 -                                                                                                   
J053007-250329      	 -.-.-     	 UVES      	   2.813	    3937	    4574	   2.239	   2.762	    56	 49800	     0	 do not cover full wavelength range                                                                                                   
J053056+133154      	 -.-.-     	 UVES      	   2.060	    3160	    3670	   1.599	   2.019	     0	     0	     0	 -                                                                                                   
J055158-211949      	 -.-.-     	 UVES      	   2.245	    3351	    3892	   1.756	   2.202	     5	 41500	     0	 -                                                                                                   
J055246-363727      	 -.-.-     	 UVES      	   2.317	    3425	    3979	   1.817	   2.273	    15	 49800	     0	 -                                                                                                   
J060008-504036      	 -.-.-     	 UVES      	   3.130	    4264	    4954	   2.508	   3.075	    13	 55800	     0	 -                                                                                                   
J060859-222009      	 -.-.-     	 UVES      	   1.926	    3021	    3510	   1.485	   1.887	     1	 49800	     0	 -                                                                                                   
J064326-504112      	 -.-.-     	 UVES      	   3.090	    4223	    4906	   2.474	   3.035	    33	 49800	     0	 -                                                                                                   
J073918+013704      	 -.-.-     	 UVES      	   0.191	    1230	    1429	   0.012	   0.175	     8	 78300	     0	 -                                                                                                   
J080916+053941      	 -.-.-     	 UVES      	   2.555	    3671	    4264	   2.020	   2.508	     6	 49800	     0	 -                                                                                                   
J081331+254503      	 -.-.-     	 UVES      	   1.510	    2592	    3011	   1.132	   1.477	    69	 54500	     0	 -                                                                                                   
J081634+144612      	 -.-.-     	 UVES      	   3.846	    5004	    5813	   3.116	   3.781	     0	     0	     0	 -                                                                                                   
J082003+155932      	 -.-.-     	 UVES      	   1.954	    3050	    3543	   1.509	   1.915	     5	 49800	     0	 -                                                                                                   
J082238+224318      	 -.-.-     	 UVES      	   1.622	    2707	    3145	   1.227	   1.587	     4	 49800	     0	 -                                                                                                   
J083052+241059      	 -.-.-     	 UVES      	   0.940	    2003	    2327	   0.648	   0.914	    34	 49800	     0	 -                                                                                                   
J083932+111206      	 -.-.-     	 UVES      	   2.671	    3791	    4403	   2.118	   2.622	     8	 73600	     0	 -                                                                                                   
J084205+183540      	 -.-.-     	 UVES      	   1.270	    2344	    2723	   0.928	   1.240	     4	 49800	     0	 -                                                                                                   
J084424+124546      	 -.-.-     	 UVES      	   2.496	    3610	    4193	   1.969	   2.449	    21	 49800	     0	 -                                                                                                   
J084650+052946      	 -.-.-     	 UVES      	   1.052	    2119	    2461	   0.743	   1.025	     3	 41500	     0	 -                                                                                                   
